CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
0,4,両クラスタとも、特定の地形形成プロセス（海岸堆積作用または火山活動）が生み出した地表面を立地基盤とし、その地形的個性を活かした観光・滞在機能が集積している点で共通する。,クラスタAは波浪・沿岸流による海岸性堆積地形（砂丘・砂州・砂礫州）を基盤とする低〜中位の沿岸立地であるのに対し、クラスタBは火山噴出物の累積・カルデラ陥没・溶岩流に起源を持つ火山性地形を基盤とする内陸高標高立地であり、地形形成プロセスが根本的に異なる。
1,40,両クラスタとも、単一機能に還元されない複合的な施設集積（商業・行政・医療・交通等）を持ち、地域住民の生活機能と外来者向けの観光・物販機能が重層する「在地型の多機能結節点」としての性格を共有している。,クラスタAは「鳴子系こけし・漆器」という固有の物質文化の製造・販売機能が街区の骨格を形成する伝統工芸商業集積地であるのに対し、クラスタBは鉄道・国道・道道など公共交通インフラの交差を起点に生活・行政・商業機能が凝縮した交通結節型中心市街地であり、集積の核となる原理が「文化的固有性」か「交通動線上の利便性」かで本質的に異なる。
2,75,両クラスタは、地形分類・標高・地域が大きく異なるにもかかわらず、いずれも「生活インフラが面的に集積した居住・商業空間」という機能的性質を共有する。城下町・宿場町・郊外住宅地・副都心を問わず、日常的な生活サービスが地域に根付いた複合的市街地・集落という本質において共通している。,クラスタAは歴史的城下町・宿場町・山間集落など「既成市街地・伝統的集落における生活密着型の徒歩圏インフラ」が卓越するのに対し、クラスタBは幹線国道・高速IC・地下鉄ターミナルなど広域交通結節点に依存した「郊外型ロードサイド・計画的副都心の複合商業・居住圏」が卓越する点が最も本質的な差異である。
3,21,両クラスタはともに、本土から隔絶された離島・海岸縁辺部の低標高地帯に立地し、自然地形（火山性・海成・堆積性）を基盤としながら人的利用が重層的に展開されている点で共通する。いずれも標高が概ね200m未満の低地〜丘陵域に収まり、港湾・海岸線への近接性が立地の本質的条件となっている。,クラスタAは琉球石灰岩・沖積・埋立地など多様な地質基盤の上に観光・商業施設が計画的に集積した「人工造成主導型の土地利用複合体」であるのに対し、クラスタBは伊豆諸島〜トカラ列島〜屋久島に連なる火山フロントの地熱・火成活動が地表形態を規定する「火山性自然地形主導型の島嶼地帯」であり、地形形成の主因が人為的造成か現役の火成活動かという点が両者を根本的に分ける。
5,16,両クラスタとも、山地・丘陵・谷底低地などの起伏ある地形上に、宗教施設・文化財・宿泊・商業機能が狭小な空間に重層的に集積する「山間観光集落型土地利用」を共有しており、平坦な都市部では成立しない地形制約下での複合的土地利用が本質的共通点である。,クラスタAは河川沿い谷底低地への施設集積という「水平方向の線的集積構造」を示すのに対し、クラスタBは急傾斜の石段・坂道・歩行者専用路が丘陵斜面を縫う「垂直方向の回遊型街路空間構造」を本質とし、動線の方向性と地形との関係性が根本的に異なる。
6,89,両クラスタとも、都市中心部から離れた関東〜地方の台地・丘陵・扇状地縁辺に位置し、農地・緑地・コミュニティ施設・道の駅などが混在する「非都市型の地域生活基盤」を共有している。,クラスタAは入間川・都幾川系の沖積扇状地を物理的基盤とする関東平野西縁の農村・郊外的低地帯であるのに対し、クラスタBは火山地・谷底低地・砂礫質台地など多様な「地形的周縁部」に全国分散立地する点が本質的な差異である。
7,96,両クラスタはともに火山性地質・地形を基盤に持ち、低〜中標高帯に立地する点で共通する。また、国道・県道・港湾・鉄道など多様な交通インフラが周辺に存在し、地域の動線上に位置する結節的な土地としての物理的性格を共有している。,クラスタAは沿岸・離島の辺縁部に位置し、行政・金融・教育・港湾など生活インフラと観光動線が交差する「機能集積型の生活拠点核」であるのに対し、クラスタBは九州南部内陸の火山性地質帯に偏在し、古墳・城郭・神社など歴史文化資源が点在する「内陸火山性地形帯の歴史的土地利用域」としての性格が際立つ。
8,22,両クラスタは、鉄道・道路などの交通インフラを軸に、商業・公共・福祉・教育など複数機能が一地点に集積した「多機能複合型の地域拠点」という性格を共有しており、単一用途の土地利用ではなく、複数の社会的機能が重層する地点として際立つ。,クラスタAは現在進行形の生活サービス機能が自然地形上に有機的に集積した「現役の生活核」であるのに対し、クラスタBは炭鉱・干拓・埋立など人為的な土地改変の歴史を経て機能転換された「改変地の再利用拠点」であり、土地形成プロセスの人為性と歴史的文脈の有無が両者を根本的に分ける。
9,70,両クラスタはともに、都市中枢から離れた旧町村・小集落スケールの生活圏に立地し、地域固有の地形・水系条件に根ざした小規模な拠点機能（観光・福祉・公共サービス）を担う末端定住地点という共通の本質を持つ。,クラスタAは河川堆積地形と地下水・断層系に規定された自然条件主導の観光・交流拠点であるのに対し、クラスタBは地形的均質性を持たず、人口減少下で高齢者福祉施設が集約された行政末端の生活維持インフラ拠点であり、立地の規定因が「自然地形」か「社会的縮退への対応」かという点で本質的に異なる。
10,74,両クラスタはともに、波浪・漂砂・沿岸流等の海岸プロセスが卓越する低標高の沿岸・島嶼地形上に立地し、観光機能と地域住民向け生活インフラが同一拠点に重層的に集積する「海縁の複合定着地」という本質を共有する。,クラスタAは砂州・砂丘・砂嘴など風成・漂砂起源の砂質堆積地形に特化し標高2〜4mの超低平地に限定されるのに対し、クラスタBは埋立地・火山山麓・扇状地・岩石台地など多様な地形分類と0.4〜30.2mの広い標高レンジを包含しており、地形的均質性と多様性において根本的に対照的である。
11,12,両クラスタは、火山活動・堆積作用・地殻変動に起源を持つ「地形的境界帯・遷移帯」に立地し、標高が概ね数m以下の低海抜帯に集中するという地形的脆弱性を共有している。,クラスタAが干拓地・埋立地・三角州など大陸沿岸・内陸水系に連なる多様な地形遷移帯に広域分散するのに対し、クラスタBは火山性離島の海縁低標高帯に限定され、孤立した島嶼地形という閉鎖的・海洋的文脈に特化している点が本質的差異である。
13,71,両クラスタとも低〜中標高の多様な地形分類（扇状地・谷底低地・砂礫質台地など）に広域分散して立地し、純粋な都市部でも深山部でもない「人間活動と自然地形が接する縁辺的環境」に位置する点を共有している。,クラスタAは透水層・不透水層の境界や沖積低地縁辺など水文地形学的湧出帯への立地が本質であるのに対し、クラスタBは公共交通・道路インフラに支えられた生活圏内の余暇・健康・福祉複合拠点としての土地利用機能が本質であり、前者は「自然的水循環の結節点」、後者は「社会的サービス供給の結節点」として対照的な立地論理を持つ。
14,54,両クラスタとも後背湿地・三角州・砂州など沖積起源の低平堆積地形上に立地し、かつての湿潤低地や沿岸低地を人工的に改変・造成した上に都市的・生活的土地利用が重層している点を共有する。北海道・東北の地方都市における「軟弱堆積面への人間活動の定着」という構造的共通性を持つ。,クラスタAは地方銀行・郵便局・診療所・学校・公営住宅など住民の日常生活を直接支える基礎インフラが集積する「縮退型地方都市の生活基盤ゾーン」であるのに対し、クラスタBはリゾート・製紙工場跡地再開発・廃線転用福祉施設など多様な土地利用転換を経た「機能再編型の複合的集積地」であり、施設の社会的役割と土地利用の変容プロセスが本質的に異なる。
15,86,両クラスタとも、特定の入浴施設を核として多様な地形・標高・地域に分散立地しており、単一の地理的条件に依存せず「施設の機能的役割」が立地の本質的な共通項となっている。,クラスタAは急傾斜地・崖地・擁壁といった地形的制約に適応した観光・宿泊施設の斜面集積構造が本質であるのに対し、クラスタBは平坦な住宅街区に根ざした生活インフラ（学校・クリニック・郵便局等）との複合的集積が本質であり、前者が「地形への建築的適応」、後者が「地域コミュニティの生活結節」という対照的な空間的論理を持つ。
16,59,両クラスタは、平坦な大都市圏ではなく地方・郊外の起伏ある地形上に立地し、歴史的・文化的蓄積を持つ施設（社寺・文化財・記念館・行政施設）が集積することで、地域の拠点性・回遊性を形成している点を共有する。,クラスタAは急傾斜地形を活かした歩行者動線の重層的整備により「垂直方向の空間的回遊性」を創出する観光街路空間であるのに対し、クラスタBは鉄道廃線という交通インフラの喪失を契機に公共施設が代替集積した「水平方向の行政・生活サービス再編拠点」であり、地域中心性の形成メカニズムが本質的に異なる。
17,34,両クラスタは、山地・火山地を含む急峻な地形の中に立地し、平野部から隔絶された山間・高標高帯という物理的条件を共有する。また、いずれも人間活動の密度が低い自然優勢な地点から観光拠点型施設まで連続的な多様性を内包しており、「山岳地形に刻まれた非平坦面」という地形的本質が両クラスタを貫く共通基盤となっている。,クラスタAは渓谷河川との近接性・水系地形との共立性が本質であり、流水・河岸段丘・扇状地末端という「侵食・堆積プロセスが卓越する水文地形帯」に立地する。一方クラスタBは現在進行形の火山性ガス噴出・熱水湧出が地表環境を規定する「地熱・火山ガス活動卓越帯」であり、支配的な地表プロセスが水文系か火山系かという点が両クラスタを分ける最も本質的な差異である。
18,14,両クラスタとも、堆積性地形（扇状地・低地）を基盤とし、商業・行政・生活インフラが集積した市街地中心部または準中心部を形成している点で共通する。地形的な堆積プロセスが人間の定住・都市化を促した土地という本質を共有している。,クラスタAは単一の扇状地地形単元上に都市機能が高密度・連続的に展開する政令市の都市的集積体であるのに対し、クラスタBは砂州・三角州・後背湿地など多様な沿岸堆積低地に立地する地方小都市の分散的な生活基盤ゾーンであり、都市規模・地形的均質性・機能集積密度において対照的である。
19,52,両クラスタとも、急峻な火山・山岳地形を基盤とし、人間の営みが自然環境に深く依存して形成された「非都市型の特殊目的地」である点が共通する。いずれも平野部から隔絶された地理的条件のもと、宗教的聖域またはウィンタースポーツ拠点として固有の文化的・社会的機能を担い、国立・国定公園等の自然保護区域とも重なる。,クラスタAは火山荒野の畏怖・聖性を核とした宗教的・精神的空間であり、施設は参道・堂宇・聖石など信仰インフラが中心で交通アクセスは限定的である。対してクラスタBは豊雪山岳地帯における鉄道・幹線道路による高アクセス性を前提とした大衆レクリエーション経済圏であり、ゲレンデ・ゴンドラ・リゾート施設など消費型観光インフラが集積する点が本質的に異なる。
20,31,"両クラスタはともに草津白根火山系の山麓斜面（標高1,100〜1,200m帯、地形分類：火山山麓地）を物理的基盤とし、急傾斜・段差・水系など火山性地形の制約の上に宿泊・飲食・商業施設が高密度に集積した高標高観光集積地という本質的構造を共有している。","クラスタAは奥日光（山麓地・湖沼・自然植生優勢）を含む複数火山系・広標高帯（約340m幅）にまたがる地域横断的クラスタであるのに対し、クラスタBは草津白根火山山麓の狭い標高帯（1,137〜1,197m）に集中し、急峻な地形的制約（段差・擁壁・崖・トンネル）が街区形成を規定する単一火山系の地形拘束型クラスタである点が最も本質的な差異である。"
22,106,両クラスタは、地形分類が多様であるにもかかわらず、公共・生活インフラ（福祉施設・教育施設・行政機能）が複合的に集積する「地域の結節点」としての性格を共有しており、単純な居住地や自然地ではなく人為的な機能集積によって定義される土地である。,クラスタAは埋立・干拓・炭鉱跡地など「過去の土地改変履歴」を起点とした産業転換・多機能複合化が本質であるのに対し、クラスタBは改変履歴よりも「現在進行形の行政・生活サービスの恒常的集積」による広域農山漁村の支援拠点性が本質であり、土地の「変化の軌跡」対「機能の定着性」という点で根本的に異なる。
23,49,両クラスタは共に、火山性・山間地形に立地し、平野部の都市インフラから隔絶された高標高帯に分布する。道路アクセスへの依存度が高く、施設整備水準にミクロ格差を抱えながらも、自然地形が土地利用の根本的制約条件となっている点が共通の本質である。,クラスタAは道路網の有無が立地成立の主規定因であり、地熱活動は副次的要素に留まる。一方クラスタBは、現在進行形の地熱フラックスそのものが地表環境・土地利用・産業配置（地熱発電・廃墟化等）を規定する主因であり、地形は火山体の侵食・堆積過程に一貫して収斂する点が本質的差異である。
24,45,両クラスタはともに全ノードが「火山地」に分類される高標高帯（700〜1230m）に位置し、火山活動に起因する溶岩・火山砕屑物由来の地質構造と、緩やかな起伏を持つ火山性地形が卓越するという地形形成プロセスの本質的共通性を持つ。,クラスタAは硫化物系熱水の地表露出（噴気地形・泥火山・噴泉塔・廃鉱山跡）が示す通り、現成の熱水変質作用が地表を直接改変する「活動的変質帯」であるのに対し、クラスタBは標高差200m以内に収束する均質な火山性高原地形であり、熱水変質の現成活動よりも過去の火山噴出物が形成した「安定的溶岩台地・高原地形」としての物理的均質性がクラスタを規定している点が最も本質的な差異である。
25,23,両クラスタとも火山性・山地地形に立地し、標高800〜930mに及ぶ広い高度帯を持つ。地熱流体が地表または地下で水文系と交差する地点を核とし、平野部の都市インフラから切り離された内陸山間部に分布する「地熱・山地型の孤立地点群」という本質を共有している。,クラスタAは地熱エネルギーが地形・水文環境に直接露出する「地熱露頭帯」として自然プロセスが卓越するのに対し、クラスタBは道路網のみを生命線とする「道路交通依存型の孤立拠点」として人的アクセス構造と施設整備水準の格差が本質的特徴を規定している。
26,33,両クラスタとも標高200m超の山間河川侵食地形（渓谷・谷底低地・段丘）に立地し、幹線交通から隔絶された地形的くびれ・谷間への選択的集積という空間的本質を共有する。,クラスタAが河川侵食地形の縁辺に農林業・観光・準都市的土地利用が多様に展開する「生活・産業の複合的定着地」であるのに対し、クラスタBは軌間762mm鉄道・地下駅・林道トンネルなど通常幹線から切り離された末端交通結節点としての性格が卓越し、廃鉱山・温泉廃址・極低乗車人員に象徴される「インフラ的孤立と衰退・痕跡の集積地」としての性質が本質的差異をなす。
27,28,両クラスタはともに火山地形を含む北海道の自然優占地帯であり、森林・河川・国立公園といった自然的土地利用が卓越し、大規模な都市的開発が抑制された「低人工改変度の自然・準自然景観」を基盤として共有している。,クラスタAが砂礫質台地・谷底低地・山地など多様な地形分類と広域的地域分布を持つ「地形的多様性の集合体」であるのに対し、クラスタBは有珠山噴火イベントに起因する火山地形が集中的に卓越し、噴火の地形的記憶が現在も可視的に残存する「単一火山活動史に収斂した景観」である点が本質的差異である。
29,30,両クラスタはともに、山岳・丘陵地帯の扇状地や斜面上に形成された宿泊・観光集積地であり、木造旅館・ホテルが密集し、歩行者動線を軸とした街区構造を持つ点で共通する。標高差や地形分類の多様性を内包しながらも、非日常的滞在を目的とした観光地型土地利用という本質的性格を共有している。,クラスタAは石畳路地・細街路・木造多層旅館が密集する「歩行者主体の近世的宿場型街路空間」であるのに対し、クラスタBはスキー場・索道（aerialway）・スポーツ用品店等の冬季スポーツインフラを核とした「冬季スポーツ観光複合集積地」であり、街区形成の駆動力が歴史的街道文化か冬季スポーツ産業かという点で本質的に異なる。
30,31,両クラスタとも火山山麓地・高標高帯に立地し、スキー場・索道・宿泊・飲食・商業施設が複合的に集積する山岳観光地である点で共通する。急峻な地形的制約の上に人工的観光インフラが重層化された「山岳火山性地形上の観光集積地」という物理的本質を共有している。,"クラスタAは豪雪帯の広域分散型で、スキー場・ゲレンデ・索道を核とする冬季スポーツインフラが主軸であり、地形・標高・交通形態の多様性が高い。対してクラスタBは草津白根火山山麓の標高1,100〜1,200m帯に地形分類・標高帯ともに均質に集中し、急傾斜・段差・崖・トンネルなど火山地形の物理的制約が街区構造そのものを規定している点が本質的差異である。"
32,42,両クラスタはともに、周囲の地形・制度・インフラによって外界から切り離された「地形的・構造的孤立地点」に立地しており、山地・台地上の閉鎖的地形単位への集中という本質的共通性を持つ。,クラスタAの孤立性は渓谷・峡谷・山麓斜面という地形形状そのものに起因する「地形的閉塞性」であるのに対し、クラスタBの孤立性はゲート規制・郵便困難地指定・鉄道専用アクセスなど「制度的・インフラ的遮断」によって成立しており、孤立の成因が自然地形か社会的管理かという点で本質的に異なる。
33,35,両クラスタとも標高400〜1100m台の山地・谷底低地に立地し、河川侵食谷や山腹斜面という険しい地形条件下で、鉄道・国道・林道・橋梁などの交通インフラが人的アクセスを担保する「山間交通結節点」としての本質を共有している。,クラスタAは黒部峡谷鉄道のスイッチバック駅や日乗車31人の極低利用路線など幹線網から切り離された「交通末端の孤立拠点」であるのに対し、クラスタBは県道・国道・ロープウェイ等が貫通し外部との接続性が機能的に維持された「山間通過・接続拠点」である点が本質的差異である。
34,36,両クラスタはともに標高700〜1200m帯の火山性地質を基盤とする高標高地帯に位置し、火山活動に起源を持つ地形（火山地・火山山麓地）が卓越する点を共有する。急峻な地形と火山性地質が土地の物理的性質を根本的に規定している点が本質的共通項である。,クラスタAは現在進行形の地熱・火山ガス噴出が地表環境を直接規定する「活動的火山プロセス卓越帯」であるのに対し、クラスタBは火山活動の産物である高原地形を基盤としつつも、アウトレット・美術館・スケートリンク等の多様なレジャー・文化施設が重層的に集積した「火山山麓高原型複合リゾート集積地」であり、火山との関係が「現在の地表プロセス」か「地形的基盤の利活用」かという点で本質的に異なる。
37,106,両クラスタとも、火山山麓地・谷底低地・扇状地など多様な堆積性・火山性地形上に立地しつつ、警察署・郵便局・学校・医療施設といった公共・生活インフラが複合的に集積する「地域住民の日常生活を支える複合的サービス拠点」としての性格を共有している。,クラスタAは低標高の堆積地形上に旧市街・ニュータウン・再開発地区など多様な居住形態が重層する「生活圏そのもの」であるのに対し、クラスタBは農山村・漁村・工業地帯など広域の異質な後背地を束ねる行政・公共サービスの「広域結節点」としての機能が卓越しており、インフラ集積の空間的役割が本質的に異なる。
38,97,両クラスタとも、急峻な山間地形に立地し、地質・地球物理的プロセス（火山活動・断層・鉱物資源）が土地利用や集落形成の立地条件を直接規定している点で共通する。いずれも単純な山間集落ではなく、地質的・水文的な自然環境の制約と恩恵が人間活動の空間配置を決定づけた地帯である。,クラスタAは火山噴火・鉱山開発・ダム建設といった「地質的撹乱イベント」が土地利用を規定した地帯であるのに対し、クラスタBは河川・湧水・地熱という「継続的な流水・水文環境」が立地の物理的基盤となっている点が本質的な差異である。前者は地質的激変への人間の適応・対応が景観を形成し、後者は恒常的な水系との共存が土地利用の多様性を生んでいる。
39,56,両クラスタは、農村・郊外・沿岸集落を問わず、地域住民の日常生活や文化・産業を支える複合的な公共インフラ（交通・福祉・文化・農業関連施設）が一点に集積する「地域結節拠点」としての機能的本質を共有している。,クラスタAは廃線跡・漁港・アイヌ文化施設など地域固有の歴史・産業文脈に根ざした代替的・補完的拠点であるのに対し、クラスタBは鉄道駅・役場・病院を核とした行政・医療・交通の制度的複合集積による現役の生活サービス結節点である点が本質的に異なる。
41,56,両クラスタは、扇状地・後背湿地・砂礫質台地などの堆積性低地地形を基盤とし、農村・郊外における住民の日常生活を支える分散型インフラ（郵便局・公民館・神社・バス停・鉄道駅など）が点在する「非都市型生活圏」としての本質的性格を共有している。,クラスタAは水田・畑作を軸とした農業的土地利用と農村生活インフラが卓越する「農業生産型低地生活圏」であるのに対し、クラスタBは鉄道駅・道の駅・病院・役場など複数の公共機能が一点に集積する「複合公共サービス結節点」としての性格が本質的な差異である。
43,50,両クラスタとも北海道・東北の火山性地形を基盤とし、平野部の集落・市街地から物理的に隔絶された孤立立地に、観光・レジャー・自然体験を主機能とする施設が点在するという共通の空間的性質を持つ。,クラスタAが標高600m超の火山地・山地に限定され冬季閉鎖や登山口機能を伴う高標高孤立拠点であるのに対し、クラスタBは標高45〜543mの火山性丘陵・山麓・台地・低地など多様な地形分類にまたがり、農業・教育・産業インフラが複合する農山村型の低〜中標高孤立拠点である点が本質的な差異である。
44,45,両クラスタとも火山活動に起源を持つ高原〜山岳帯の地形上に立地し、溶岩・火山砕屑物由来の地質構造と地熱エネルギーが土地の物理的性質・生態系・土地利用を根本的に規定している点で共通する。,クラスタAは噴気孔・強酸性河川・熱水変質など地熱流体が現在進行形で地表に露出する「地熱露頭帯」であるのに対し、クラスタBは地熱の地表露出よりも溶岩台地・火山砕屑物が形成した緩起伏の「火山性高原地形」としての地形的均質性が本質であり、地熱活動の表現強度と地形形成プロセスの主役が根本的に異なる。
46,48,両クラスタとも、火山性・山岳性地形に起因する急峻な地形分類（山地・火山地・火山性丘陵・火山山麓地）に属し、平地から物理的に隔絶された高標高の孤立立地を本質とする。周辺道路は細道・山道・二次路線以下に限られ、国有林・国立公園内への集中という土地管理上の共通性も持つ。,クラスタAは多様な山岳レクリエーション（スキー場・登山道）を軸とした観光インフラの集積と地形成因の多様性（山地・火山地・火山性丘陵の混在）が特徴であるのに対し、クラスタBは火山性地熱帯という地下熱水系の活発な地点に立地が強く規定され、地熱発電・農業転用など産業的エネルギー利用という土地利用の次元が加わる点が本質的な差異である。
47,42,両クラスタはともに、一般的な観光・生活インフラから物理的に隔絶された山地・高標高帯に立地し、国立公園や保護区域内に位置するノードを含む。アクセスが公共交通・徒歩・季節限定道路に限定され、日常的な往来が困難な「辺境性」を本質的に共有している。,クラスタAは登山口・ガイドポスト・ヘリパッドなど山岳フロンティアへの「ゲートウェイ機能」を持ち、季節営業ながら観光商業集積や公共交通が整備された半開放的拠点である。一方クラスタBは一般車通行禁止・郵便困難地指定・一軒宿など制度的・物理的遮断が重層し、外界との接続が構造的に断たれた「孤立完結型」立地である点が本質的に異なる。
48,49,両クラスタは共に「火山地」「火山山麓地」を主体とする地形分類を持ち、標高500m超の高標高帯に位置する火山性地熱フラックスの影響下にある土地である。地熱発電所・野湯湧出点・国有林・国立公園といった土地管理形態が重複し、地熱エネルギーが地表近傍まで達する活発な火山性熱水系を共通の物理的基盤として持つ。,クラスタAは東北火山弧（十和田八幡平・吾妻山系）に沿った地理的集中と「高標高孤立立地」という空間的孤絶性が本質であるのに対し、クラスタBは磐梯山・蔵王など複数火山体にまたがる広域分散性と、スキー場・廃墟・住宅系道路・渡河点など土地利用段階の極端な多様性が本質であり、地熱環境の「空間的凝集」対「地域横断的拡散」という構造的差異が両者を分ける。
51,52,両クラスタはともに標高200m以上の山岳・火山性地帯に立地し、地下・地表の地熱・積雪など自然環境の卓越した物理的エネルギーが地域の土地利用と経済活動を根本的に規定している点を共有する。,クラスタAは現在進行形の地熱流体が地表に直接露出し地形・植生・土地利用を能動的に形成する「地熱顕現帯」であるのに対し、クラスタBは豊雪環境と広域交通網の結節点という受動的・季節的条件を基盤にウィンタースポーツ産業が外部から重層的に整備された「交通結節型山岳観光拠点」であり、自然エネルギーの作用様式と人間活動の介入構造が本質的に異なる。
53,54,両クラスタともに、後背湿地・三角州・自然堤防・砂丘・砂礫質台地などの低平な沖積・堆積地形を共通基盤とし、自然排水が不良な軟弱地盤上に人工的な土地利用が重畳した「氾濫原〜沿岸低地系の生活・都市空間」という本質的性格を共有している。,クラスタAは11種類に及ぶ地形分類と北海道・東北の広域にわたる地方都市・農村の「日常生活圏」としての均質な生活インフラ集積が核心であるのに対し、クラスタBは後背湿地優位の限定的地形構成ながら、リゾート型・山間集落型・商業交通結節型など施設集積の機能的性格が大きく分岐する「土地利用の多機能的重畳」が本質的差異である。
55,56,両クラスタはともに、北海道の農村・郊外・都市周縁部において、道の駅・公園・交通結節点・地域施設が複合的に集積する「公共サービス結節点」としての性質を共有しており、地域住民と来訪者の双方を受け入れる多機能型の地域拠点として機能している点が本質的な共通特徴である。,クラスタAは炭鉱跡地・アイヌ文化圏・大規模リゾートなど産業史・文化的背景が多彩で、観光・地域振興色が強い「広域来訪者対応型拠点」であるのに対し、クラスタBは鉄道駅・役場・病院など日常インフラが中核を占め、住民の生活基盤を直接支える「生活密着型地域拠点」としての性格が際立つ。
